BindingEnergy_eV,Intensity
8093.00,87.429200
8092.00,85.353700
8091.00,85.948200
8090.00,85.121300
8089.00,87.353000
8088.00,83.970400
8087.00,86.551300
8086.00,84.022200
8085.00,90.957000
8084.00,90.451100
8083.00,86.127800
8082.00,85.997000
8081.00,88.132000
8080.00,90.007500
8079.00,88.398700
8078.00,88.445600
8077.00,91.964100
8076.00,83.912500
8075.00,89.048100
8074.00,88.076900
8073.00,84.669300
8072.00,88.335500
8071.00,86.419400
8070.00,89.320300
8069.00,89.081600
8068.00,89.512900
8067.00,85.924800
8066.00,89.954000
8065.00,87.370200
8064.00,91.170100
8063.00,90.261000
8062.00,90.568900
8061.00,90.200500
8060.00,92.964200
8059.00,91.862000
8058.00,91.919800
8057.00,90.731300
8056.00,89.078500
8055.00,90.091100
8054.00,92.001500
8053.00,87.769400
8052.00,89.579600
8051.00,90.135100
8050.00,89.115700
8049.00,88.472500
8048.00,92.174500
8047.00,91.537500
8046.00,88.062000
8045.00,88.334000
8044.00,92.481600
8043.00,89.838200
8042.00,94.885800
8041.00,88.934700
8040.00,86.660300
8039.00,88.845600
8038.00,88.100400
8037.00,94.783000
8036.00,89.240400
8035.00,89.995200
8034.00,86.853900
8033.00,86.938400
8032.00,93.160400
8031.00,89.439500
8030.00,85.099800
8029.00,85.364100
8028.00,94.701900
8027.00,85.798500
8026.00,86.941600
8025.00,92.006500
8024.00,89.893600
8023.00,91.345600
8022.00,91.072300
8021.00,87.492000
8020.00,88.583500
8019.00,85.736800
8018.00,93.641800
8017.00,88.457100
8016.00,85.909500
8015.00,89.679100
8014.00,87.552800
8013.00,89.787500
8012.00,89.523100
8011.00,89.729300
8010.00,88.889900
8009.00,89.461200
8008.00,85.102000
8007.00,89.405700
8006.00,89.727100
8005.00,91.564400
8004.00,88.165000
8003.00,89.811800
8002.00,91.674800
8001.00,89.324600
8000.00,92.635500
7999.00,90.001000
7998.00,94.736100
7997.00,90.205000
7996.00,96.317500
7995.00,93.196200
7994.00,94.117300
7993.00,91.926300
7992.00,90.377400
7991.00,88.357300
7990.00,90.227600
7989.00,93.163100
7988.00,93.516900
7987.00,91.430700
7986.00,94.546700
7985.00,95.399100
7984.00,94.142600
7983.00,101.666000
7982.00,91.300800
7981.00,97.117900
7980.00,94.571000
7979.00,96.751400
7978.00,97.894300
7977.00,98.125300
7976.00,92.920100
7975.00,97.347800
7974.00,93.567100
7973.00,99.168200
7972.00,95.073600
7971.00,91.169800
7970.00,94.233600
7969.00,94.264900
7968.00,94.285100
7967.00,98.405000
7966.00,98.472400
7965.00,95.494600
7964.00,96.448600
7963.00,97.344100
7962.00,97.766300
7961.00,96.432600
7960.00,96.285600
7959.00,99.940300
7958.00,93.127300
7957.00,93.246600
7956.00,95.963500
7955.00,97.927900
7954.00,93.868600
7953.00,98.529100
7952.00,100.613000
7951.00,97.658600
7950.00,94.851600
7949.00,96.381300
7948.00,97.179700
7947.00,95.460100
7946.00,90.341600
7945.00,94.809900
7944.00,95.397900
7943.00,95.665900
7942.00,98.011700
7941.00,98.162600
7940.00,98.336000
7939.00,93.222200
7938.00,97.823300
7937.00,96.186800
7936.00,94.352300
7935.00,91.648600
7934.00,95.924800
7933.00,90.564900
7932.00,97.738000
7931.00,99.231400
7930.00,95.813600
7929.00,100.063000
7928.00,92.577700
7927.00,96.164300
7926.00,94.634500
7925.00,98.768400
7924.00,97.866000
7923.00,98.868400
7922.00,97.546000
7921.00,95.547400
7920.00,98.554400
7919.00,96.985300
7918.00,92.633700
7917.00,95.290100
7916.00,97.337100
7915.00,95.825000
7914.00,93.963000
7913.00,99.533700
7912.00,99.819800
7911.00,99.637500
7910.00,92.298200
7909.00,95.464400
7908.00,95.113400
7907.00,95.407900
7906.00,96.865400
7905.00,96.355200
7904.00,94.505200
7903.00,92.859800
7902.00,99.241500
7901.00,97.470400
7900.00,96.954900
7899.00,94.690400
7898.00,96.463200
7897.00,95.037700
7896.00,93.351700
7895.00,94.195700
7894.00,96.347700
7893.00,95.224900
7892.00,98.843000
7891.00,95.092400
7890.00,93.619500
7889.00,94.489400
7888.00,94.783000
7887.00,99.669300
7886.00,98.569800
7885.00,94.581500
7884.00,95.733800
7883.00,100.513000
7882.00,100.049000
7881.00,96.600500
7880.00,97.154300
7879.00,98.103200
7878.00,97.027000
7877.00,94.052300
7876.00,98.576000
7875.00,93.602900
7874.00,97.382600
7873.00,93.700400
7872.00,97.811100
7871.00,96.766700
7870.00,94.650300
7869.00,98.022800
7868.00,99.954100
7867.00,99.420000
7866.00,102.695000
7865.00,96.341000
7864.00,99.427700
7863.00,94.141700
7862.00,103.538000
