BindingEnergy_eV,Intensity
285.60,6075.0
286.00,6125.0
286.40,6000.0
286.80,5962.5
287.20,6312.5
287.60,6450.0
288.00,6675.0
288.40,6712.5
288.80,8137.5
289.20,9787.5
289.60,12087.5
290.00,15425.0
290.40,14112.5
290.80,14075.0
291.20,12537.5
291.60,10675.0
292.00,9112.5
292.40,8412.5
292.80,7700.0
293.20,7750.0
293.60,7600.0
294.00,7362.5
294.40,7425.0
294.80,6775.0
295.20,6825.0
295.60,6637.5
296.00,6812.5
296.40,6437.5
296.80,6862.5
297.20,6237.5
297.60,6225.0
298.00,6137.5
298.40,6212.5
298.80,6200.0
299.20,6325.0
299.60,7000.0
300.00,6175.0
300.40,6475.0
300.80,6887.5
301.20,7112.5
301.60,6925.0
302.00,6912.5
302.40,6550.0
302.80,6725.0
303.20,6137.5
303.60,6425.0
304.00,6600.0
304.40,6525.0
304.80,6987.5
305.20,6850.0
305.60,6737.5
306.00,6462.5
306.40,6625.0
306.80,6762.5
307.20,7412.5
307.60,6912.5
308.00,7325.0
308.40,7012.5
308.80,7312.5
309.20,6650.0
309.60,6762.5
310.00,7175.0
310.40,7000.0
310.80,6925.0
311.20,6512.5
311.60,6675.0
312.00,6512.5
312.40,6750.0
312.80,6762.5
313.20,6537.5
313.60,6062.5
314.00,7050.0
314.40,6587.5
314.80,6850.0
315.20,7062.5
315.60,6662.5
316.00,6812.5
316.40,6312.5
316.80,6887.5
317.20,6337.5
317.60,6687.5
318.00,6362.5
318.40,6625.0
318.80,6662.5
319.20,6487.5
319.60,6112.5
320.00,6550.0
320.40,6062.5
320.80,6600.0
321.20,6662.5
321.60,6462.5
322.00,6462.5
322.40,6487.5
322.80,6012.5
323.20,6512.5
323.60,6525.0
324.00,6537.5
324.40,6537.5
324.80,6775.0
325.20,6725.0
325.60,6900.0
326.00,6612.5
326.40,6462.5
326.80,6912.5
327.20,6837.5
327.60,6175.0
328.00,6237.5
328.40,6625.0
328.80,6275.0
329.20,6500.0
329.60,6662.5
330.00,6525.0
330.40,6337.5
330.80,6475.0
331.20,6850.0
331.60,6575.0
332.00,6575.0
332.40,6737.5
332.80,6062.5
333.20,6887.5
333.60,6125.0
334.00,6200.0
334.40,6600.0
334.80,6875.0
335.20,6650.0
335.60,6625.0
336.00,6812.5
336.40,6137.5
336.80,6725.0
337.20,6450.0
337.60,6350.0
338.00,6212.5
338.40,6100.0
338.80,6500.0
339.20,6237.5
339.60,6600.0
340.00,6387.5
340.40,6512.5
340.80,6312.5
341.20,6087.5
341.60,6512.5
342.00,6200.0
342.40,6600.0
342.80,6525.0
343.20,6475.0
343.60,6700.0
344.00,6487.5
344.40,6625.0
344.80,6762.5
345.20,6337.5
345.60,6737.5
346.00,6075.0
346.40,6125.0
346.80,6500.0
347.20,6437.5
347.60,6162.5
348.00,6387.5
348.40,6675.0
348.80,6500.0
349.20,6587.5
349.60,6600.0
350.00,6450.0
350.40,6100.0
350.80,7025.0
351.20,6287.5
351.60,6650.0
352.00,6262.5
352.40,6150.0
352.80,6212.5
353.20,6287.5
353.60,6125.0
354.00,6375.0
354.40,6525.0
354.80,6287.5
355.20,6600.0
355.60,6600.0
356.00,6437.5
356.40,6275.0
356.80,6812.5
357.20,6462.5
357.60,6312.5
358.00,6600.0
358.40,6325.0
358.80,6487.5
359.20,6125.0
359.60,6025.0
360.00,5862.5
360.40,6075.0
360.80,6350.0
361.20,6287.5
361.60,6137.5
362.00,6437.5
362.40,6225.0
362.80,6275.0
363.20,6087.5
363.60,6987.5
364.00,6112.5
364.40,5850.0
364.80,6350.0
365.20,6687.5
365.60,6312.5
366.00,6650.0
366.40,6137.5
366.80,5862.5
367.20,6412.5
367.60,6662.5
368.00,6275.0
368.40,6712.5
368.80,6237.5
369.20,6562.5
369.60,5712.5
370.00,6750.0
370.40,6450.0
370.80,6000.0
371.20,6000.0
371.60,5737.5
372.00,5975.0
372.40,6087.5
372.80,5850.0
373.20,6312.5
373.60,6200.0
374.00,6412.5
374.40,6400.0
374.80,6162.5
375.20,6587.5
375.60,6250.0
376.00,6600.0
376.40,6200.0
376.80,6625.0
377.20,6162.5
377.60,6187.5
378.00,6400.0
378.40,5775.0
378.80,5775.0
379.20,5937.5
379.60,6325.0
380.00,6162.5
380.40,6225.0
380.80,6150.0
381.20,6162.5
381.60,6487.5
382.00,6012.5
382.40,5937.5
382.80,6175.0
383.20,5962.5
383.60,6650.0
384.00,5450.0
384.40,6237.5
384.80,6212.5
385.20,5837.5
385.60,6025.0
386.00,6337.5
386.40,6200.0
386.80,6200.0
387.20,6362.5
387.60,6462.5
388.00,6150.0
388.40,6362.5
388.80,6225.0
389.20,6437.5
389.60,6200.0
390.00,6012.5
390.40,6700.0
390.80,6062.5
391.20,6587.5
391.60,5687.5
392.00,5975.0
392.40,6200.0
392.80,6162.5
393.20,5900.0
393.60,5812.5
394.00,5887.5
394.40,5712.5
394.80,5875.0
395.20,6437.5
395.60,5937.5
396.00,6625.0
396.40,5650.0
396.80,6812.5
397.20,6050.0
397.60,5850.0
398.00,6162.5
398.40,5887.5
398.80,6300.0
399.20,5762.5
399.60,6050.0
400.00,5862.5
400.40,5587.5
400.80,6287.5
401.20,6412.5
401.60,5775.0
402.00,6112.5
402.40,5800.0
402.80,6112.5
403.20,6162.5
403.60,6250.0
404.00,6062.5
404.40,6050.0
404.80,6575.0
405.20,6112.5
405.60,6475.0
406.00,6100.0
406.40,6412.5
406.80,6437.5
407.20,6262.5
407.60,5975.0
408.00,6000.0
408.40,6037.5
408.80,5837.5
409.20,6375.0
409.60,6025.0
410.00,6137.5
410.40,5987.5
410.80,5825.0
411.20,5550.0
411.60,5750.0
412.00,5350.0
412.40,5862.5
412.80,5675.0
413.20,5600.0
413.60,5787.5
414.00,5562.5
414.40,6475.0
414.80,5587.5
415.20,5900.0
415.60,5462.5
416.00,6225.0
416.40,5400.0
416.80,6200.0
417.20,5812.5
417.60,6012.5
418.00,6025.0
418.40,5600.0
418.80,5737.5
419.20,6312.5
419.60,5862.5
420.00,5987.5
420.40,5700.0
420.80,6337.5
421.20,5712.5
421.60,6300.0
422.00,5575.0
422.40,5825.0
422.80,5912.5
423.20,5875.0
423.60,5425.0
424.00,6587.5
424.40,5712.5
424.80,5575.0
425.20,5850.0
425.60,5700.0
426.00,5862.5
426.40,5812.5
426.80,5750.0
427.20,5637.5
427.60,5300.0
428.00,5550.0
428.40,5900.0
428.80,6087.5
429.20,5812.5
429.60,5587.5
430.00,5625.0
430.40,5725.0
430.80,5725.0
431.20,5675.0
431.60,5937.5
432.00,5850.0
432.40,5762.5
432.80,5487.5
433.20,6037.5
433.60,5500.0
434.00,6025.0
434.40,5525.0
434.80,6037.5
435.20,5137.5
435.60,5137.5
436.00,5475.0
436.40,5350.0
436.80,5500.0
437.20,5412.5
437.60,5712.5
438.00,6012.5
438.40,5562.5
438.80,6012.5
439.20,5537.5
439.60,6012.5
440.00,6200.0
440.40,5600.0
440.80,5912.5
441.20,5325.0
441.60,5462.5
442.00,5262.5
442.40,5850.0
442.80,5900.0
443.20,5387.5
443.60,5350.0
444.00,5462.5
444.40,5612.5
444.80,5887.5
445.20,5875.0
445.60,5700.0
446.00,5787.5
446.40,5650.0
446.80,5762.5
447.20,5750.0
447.60,5700.0
448.00,5787.5
448.40,5512.5
448.80,5887.5
449.20,5687.5
449.60,5737.5
450.00,5650.0
450.40,5587.5
450.80,5450.0
451.20,5550.0
451.60,5837.5
452.00,5375.0
452.40,5887.5
452.80,5237.5
453.20,5587.5
453.60,5400.0
454.00,5837.5
454.40,5875.0
454.80,5400.0
455.20,5712.5
455.60,5787.5
456.00,5462.5
456.40,6325.0
456.80,6000.0
457.20,6037.5
457.60,6175.0
458.00,5875.0
458.40,6225.0
458.80,6462.5
459.20,6425.0
459.60,6450.0
460.00,6312.5
460.40,6362.5
460.80,6487.5
461.20,7150.0
461.60,8100.0
462.00,7900.0
462.40,10750.0
462.80,13837.5
463.20,21837.5
463.60,28987.5
464.00,34075.0
464.40,34800.0
464.80,30812.5
465.20,22362.5
465.60,16887.5
466.00,13212.5
466.40,13037.5
466.80,12687.5
467.20,12225.0
467.60,12212.5
468.00,12912.5
468.40,14962.5
468.80,16837.5
469.20,18962.5
469.60,20062.5
470.00,20812.5
470.40,19612.5
470.80,18287.5
471.20,16200.0
471.60,13550.0
472.00,12962.5
472.40,12375.0
472.80,11387.5
473.20,10987.5
473.60,11675.0
474.00,10912.5
474.40,11212.5
474.80,11725.0
475.20,12212.5
475.60,12512.5
476.00,12850.0
476.40,14150.0
476.80,14612.5
477.20,15025.0
477.60,14712.5
478.00,14600.0
478.40,14537.5
478.80,14600.0
479.20,14450.0
479.60,13575.0
480.00,14287.5
480.40,13312.5
480.80,13837.5
481.20,13450.0
481.60,13175.0
482.00,13575.0
482.40,13725.0
482.80,14687.5
483.20,13650.0
483.60,14387.5
484.00,13937.5
484.40,13737.5
484.80,13762.5
485.20,13612.5
485.60,13775.0
486.00,13712.5
486.40,13837.5
486.80,13712.5
487.20,14237.5
487.60,13712.5
488.00,13950.0
488.40,14325.0
488.80,14162.5
489.20,14775.0
489.60,14100.0
490.00,15850.0
490.40,17275.0
490.80,20800.0
491.20,26687.5
491.60,32662.5
492.00,35800.0
492.40,36087.5
492.80,30975.0
493.20,25825.0
493.60,21400.0
494.00,17737.5
494.40,16975.0
494.80,15475.0
495.20,15687.5
495.60,15025.0
