BindingEnergy_eV,Intensity
317.20,2975.0
317.60,2837.5
318.00,2787.5
318.40,2900.0
318.80,2750.0
319.20,2650.0
319.60,2975.0
320.00,2662.5
320.40,2687.5
320.80,2712.5
321.20,2462.5
321.60,2050.0
322.00,2787.5
322.40,2650.0
322.80,2762.5
323.20,2587.5
323.60,2637.5
324.00,2262.5
324.40,2862.5
324.80,2850.0
325.20,2562.5
325.60,2587.5
326.00,2750.0
326.40,2400.0
326.80,2487.5
327.20,2425.0
327.60,2512.5
328.00,2875.0
328.40,2587.5
328.80,2962.5
329.20,2625.0
329.60,3087.5
330.00,2637.5
330.40,2900.0
330.80,2512.5
331.20,2562.5
331.60,2562.5
332.00,2775.0
332.40,2875.0
332.80,2562.5
333.20,2862.5
333.60,3050.0
334.00,2800.0
334.40,2762.5
334.80,2787.5
335.20,2762.5
335.60,2337.5
336.00,2962.5
336.40,2700.0
336.80,2950.0
337.20,2700.0
337.60,2962.5
338.00,2500.0
338.40,2800.0
338.80,2512.5
339.20,3150.0
339.60,2675.0
340.00,2887.5
340.40,2762.5
340.80,2500.0
341.20,2637.5
341.60,2300.0
342.00,2587.5
342.40,2400.0
342.80,2687.5
343.20,2787.5
343.60,2625.0
344.00,2550.0
344.40,2500.0
344.80,2837.5
345.20,2675.0
345.60,2775.0
346.00,2675.0
346.40,2775.0
346.80,2612.5
347.20,2875.0
347.60,2412.5
348.00,2437.5
348.40,2212.5
348.80,2737.5
349.20,2387.5
349.60,2237.5
350.00,2800.0
350.40,2562.5
350.80,2725.0
351.20,2450.0
351.60,2787.5
352.00,2575.0
352.40,2675.0
352.80,2825.0
353.20,2562.5
353.60,2575.0
354.00,2587.5
354.40,2825.0
354.80,2875.0
355.20,2412.5
355.60,2512.5
356.00,2437.5
356.40,2675.0
356.80,2475.0
357.20,2750.0
357.60,2412.5
358.00,2862.5
358.40,2375.0
358.80,2187.5
359.20,2350.0
359.60,2187.5
360.00,2625.0
360.40,2637.5
360.80,2612.5
361.20,2762.5
361.60,2500.0
362.00,2637.5
362.40,2212.5
362.80,2625.0
363.20,2737.5
363.60,2912.5
364.00,2637.5
364.40,3000.0
364.80,2287.5
365.20,2850.0
365.60,2625.0
366.00,2712.5
366.40,2787.5
366.80,2812.5
367.20,2625.0
367.60,2787.5
368.00,2362.5
368.40,2737.5
368.80,2850.0
369.20,2625.0
369.60,2712.5
370.00,2375.0
370.40,2312.5
370.80,2325.0
371.20,2725.0
371.60,2350.0
372.00,2800.0
372.40,2412.5
372.80,2325.0
373.20,2587.5
373.60,2587.5
374.00,2500.0
374.40,2637.5
374.80,2337.5
375.20,2450.0
375.60,2687.5
376.00,2425.0
376.40,2850.0
376.80,2337.5
377.20,2500.0
377.60,2375.0
378.00,2512.5
378.40,2600.0
378.80,2737.5
379.20,2725.0
379.60,2562.5
380.00,2512.5
380.40,2600.0
380.80,2700.0
381.20,2612.5
381.60,2212.5
382.00,2612.5
382.40,2350.0
382.80,2637.5
383.20,2637.5
383.60,2100.0
384.00,2800.0
384.40,2262.5
384.80,2412.5
385.20,2200.0
385.60,2387.5
386.00,2650.0
386.40,2387.5
386.80,2612.5
387.20,2350.0
387.60,2375.0
388.00,2725.0
388.40,2737.5
388.80,2462.5
389.20,2612.5
389.60,2362.5
390.00,2575.0
390.40,2575.0
390.80,2500.0
391.20,2675.0
391.60,2400.0
392.00,2712.5
392.40,2537.5
392.80,2550.0
393.20,2612.5
393.60,2637.5
394.00,2562.5
394.40,2750.0
394.80,2550.0
395.20,2475.0
395.60,2512.5
396.00,2575.0
396.40,2325.0
396.80,2287.5
397.20,2475.0
397.60,2225.0
398.00,2612.5
398.40,2550.0
398.80,2500.0
399.20,2412.5
399.60,2412.5
400.00,2612.5
400.40,2625.0
400.80,2600.0
401.20,2425.0
401.60,2375.0
402.00,2475.0
402.40,2512.5
402.80,2200.0
403.20,2362.5
403.60,2575.0
404.00,2387.5
404.40,2700.0
404.80,2225.0
405.20,2912.5
405.60,2462.5
406.00,2475.0
406.40,2437.5
406.80,2525.0
407.20,2287.5
407.60,2525.0
408.00,2400.0
408.40,2100.0
408.80,2537.5
409.20,2212.5
409.60,2437.5
410.00,2650.0
410.40,2462.5
410.80,2675.0
411.20,2325.0
411.60,2512.5
